player,game_date,target
Byron Scott,2022-10-18,33.0
Byron Scott,2022-10-21,34.0
Byron Scott,2022-10-23,33.0
Byron Scott,2022-10-25,21.0
Byron Scott,2022-10-27,33.0
Byron Scott,2022-10-29,31.0
Byron Scott,2022-10-30,32.0
Byron Scott,2022-11-01,23.0
Byron Scott,2022-11-03,39.0
Byron Scott,2022-11-07,47.0
Byron Scott,2022-11-11,40.0
Byron Scott,2022-11-13,27.0
Byron Scott,2022-11-14,16.0
Byron Scott,2022-11-16,50.0
Byron Scott,2022-11-18,24.0
Byron Scott,2022-11-20,33.0
Byron Scott,2022-11-23,22.0
Byron Scott,2022-11-25,33.0
Byron Scott,2022-11-27,25.0
Byron Scott,2022-11-29,32.0
Byron Scott,2022-12-02,19.0
Byron Scott,2022-12-03,30.0
Byron Scott,2022-12-05,12.0
Byron Scott,2022-12-10,32.0
Byron Scott,2022-12-13,20.0
Byron Scott,2022-12-14,38.0
Byron Scott,2023-01-10,24.0
Byron Scott,2023-01-13,15.0
Byron Scott,2023-01-15,20.0
Byron Scott,2023-01-16,41.0
Byron Scott,2023-01-19,29.0
Byron Scott,2023-01-22,26.0
Byron Scott,2023-01-25,34.0
Byron Scott,2023-01-27,35.0
Byron Scott,2023-01-30,38.0
Byron Scott,2023-02-01,29.0
Byron Scott,2023-02-02,28.0
Byron Scott,2023-02-04,21.0
Byron Scott,2023-03-05,27.0
Byron Scott,2023-03-07,40.0
Byron Scott,2023-03-09,29.0
Byron Scott,2023-03-11,36.0
Byron Scott,2023-03-13,23.0
Byron Scott,2023-03-15,50.0
Byron Scott,2023-03-17,31.0
Byron Scott,2023-03-18,16.0
Byron Scott,2023-03-20,30.0
Byron Scott,2023-03-22,20.0
Byron Scott,2023-03-24,29.0
Byron Scott,2023-03-26,20.0
Byron Scott,2023-03-28,39.0
Byron Scott,2023-03-31,33.0
Byron Scott,2023-04-02,21.0
Byron Scott,2023-04-04,34.0
Byron Scott,2023-04-07,25.0
Byron Scott,2023-04-09,26.0
Byron Scott,2023-10-24,27.0
Byron Scott,2023-10-27,41.0
Byron Scott,2023-10-29,24.0
Byron Scott,2023-10-30,42.0
Byron Scott,2023-11-01,21.0
Byron Scott,2023-11-03,30.0
Byron Scott,2023-11-05,28.0
Byron Scott,2023-11-06,34.0
Byron Scott,2023-11-08,23.0
Byron Scott,2023-11-11,30.0
Byron Scott,2023-11-12,38.0
Byron Scott,2023-11-18,25.0
Byron Scott,2023-11-20,32.0
Byron Scott,2023-11-22,16.0
Byron Scott,2023-11-24,35.0
Byron Scott,2023-11-28,29.0
Byron Scott,2023-11-30,26.0
Byron Scott,2023-12-02,22.0
Byron Scott,2023-12-06,31.0
Byron Scott,2023-12-08,34.0
Byron Scott,2023-12-12,24.0
Byron Scott,2023-12-14,17.0
Byron Scott,2023-12-16,37.0
Byron Scott,2023-12-17,7.0
Byron Scott,2023-12-19,33.0
Byron Scott,2023-12-22,30.0
Byron Scott,2023-12-23,27.0
Byron Scott,2023-12-25,18.0
Byron Scott,2023-12-28,13.0
Byron Scott,2023-12-30,25.0
Byron Scott,2024-01-02,36.0
Byron Scott,2024-01-04,30.0
Byron Scott,2024-01-05,26.0
Byron Scott,2024-01-07,9.0
Byron Scott,2024-01-10,15.0
Byron Scott,2024-01-12,27.0
Byron Scott,2024-01-15,26.0
Byron Scott,2024-01-24,25.0
Byron Scott,2024-01-25,33.0
Byron Scott,2024-01-27,46.0
Byron Scott,2024-01-30,37.0
Byron Scott,2024-02-02,20.0
Byron Scott,2024-02-03,60.0
Byron Scott,2024-02-05,29.0
Byron Scott,2024-02-07,9.0
Byron Scott,2024-02-08,42.0
Byron Scott,2024-02-10,30.0
Byron Scott,2024-02-12,25.0
Byron Scott,2024-02-14,41.0
Byron Scott,2024-02-15,16.0
Byron Scott,2024-02-22,32.0
Byron Scott,2024-02-23,15.0
Byron Scott,2024-02-25,20.0
Byron Scott,2024-02-27,18.0
Byron Scott,2024-02-29,31.0
Byron Scott,2024-03-01,25.0
Byron Scott,2024-03-03,4.0
Byron Scott,2024-03-06,29.0
Byron Scott,2024-03-07,15.0
Byron Scott,2024-03-16,31.0
Byron Scott,2024-03-18,27.0
Byron Scott,2024-03-20,14.0
Byron Scott,2024-03-22,25.0
Byron Scott,2024-03-24,31.0
Byron Scott,2024-03-26,17.0
Byron Scott,2024-03-27,17.0
Byron Scott,2024-03-29,23.0
Byron Scott,2024-03-31,33.0
Byron Scott,2024-04-02,13.0
Byron Scott,2024-04-04,29.0
Byron Scott,2024-04-05,28.0
Byron Scott,2024-04-09,23.0
Byron Scott,2024-04-11,22.0
Byron Scott,2024-04-12,33.0
Byron Scott,2024-10-23,17.0
Byron Scott,2024-10-25,20.0
Byron Scott,2024-10-27,18.0
Byron Scott,2024-11-04,24.0
Byron Scott,2024-11-06,27.0
Byron Scott,2024-11-08,12.0
Byron Scott,2024-11-10,36.0
Byron Scott,2024-11-12,37.0
