game_date,player,actual_value
2025-10-27 06:06:03.348740,Synth Player 1001,20.0
2025-10-29 06:06:03.348740,Synth Player 1001,19.0
2025-10-31 06:06:03.348740,Synth Player 1001,18.0
2025-11-02 06:06:03.348740,Synth Player 1001,17.0
2025-11-04 06:06:03.348740,Synth Player 1001,16.0
2025-11-06 06:06:03.348740,Synth Player 1001,15.0
2025-11-08 06:06:03.348740,Synth Player 1001,14.0
2025-11-10 06:06:03.348740,Synth Player 1001,13.0
2025-11-12 06:06:03.348740,Synth Player 1001,12.0
2025-11-14 06:06:03.348740,Synth Player 1001,11.0
2025-10-27 06:06:03.348740,Synth Player 1002,21.0
2025-10-29 06:06:03.348740,Synth Player 1002,20.0
2025-10-31 06:06:03.348740,Synth Player 1002,19.0
2025-11-02 06:06:03.348740,Synth Player 1002,18.0
2025-11-04 06:06:03.348740,Synth Player 1002,17.0
2025-11-06 06:06:03.348740,Synth Player 1002,16.0
2025-11-08 06:06:03.348740,Synth Player 1002,15.0
2025-11-10 06:06:03.348740,Synth Player 1002,14.0
2025-11-12 06:06:03.348740,Synth Player 1002,13.0
2025-11-14 06:06:03.348740,Synth Player 1002,12.0
2025-10-27 06:06:03.348740,Synth Player 1003,22.0
2025-10-29 06:06:03.348740,Synth Player 1003,21.0
2025-10-31 06:06:03.348740,Synth Player 1003,20.0
2025-11-02 06:06:03.348740,Synth Player 1003,19.0
2025-11-04 06:06:03.348740,Synth Player 1003,18.0
2025-11-06 06:06:03.348740,Synth Player 1003,17.0
2025-11-08 06:06:03.348740,Synth Player 1003,16.0
2025-11-10 06:06:03.348740,Synth Player 1003,15.0
2025-11-12 06:06:03.348740,Synth Player 1003,14.0
2025-11-14 06:06:03.348740,Synth Player 1003,13.0
2025-10-27 06:06:03.348740,Synth Player 1004,23.0
2025-10-29 06:06:03.348740,Synth Player 1004,22.0
2025-10-31 06:06:03.348740,Synth Player 1004,21.0
2025-11-02 06:06:03.348740,Synth Player 1004,20.0
2025-11-04 06:06:03.348740,Synth Player 1004,19.0
2025-11-06 06:06:03.348740,Synth Player 1004,18.0
2025-11-08 06:06:03.348740,Synth Player 1004,17.0
2025-11-10 06:06:03.348740,Synth Player 1004,16.0
2025-11-12 06:06:03.348740,Synth Player 1004,15.0
2025-11-14 06:06:03.348740,Synth Player 1004,14.0
2025-10-27 06:06:03.348740,Synth Player 1005,19.0
2025-10-29 06:06:03.348740,Synth Player 1005,18.0
2025-10-31 06:06:03.348740,Synth Player 1005,17.0
2025-11-02 06:06:03.348740,Synth Player 1005,16.0
2025-11-04 06:06:03.348740,Synth Player 1005,15.0
2025-11-06 06:06:03.348740,Synth Player 1005,14.0
2025-11-08 06:06:03.348740,Synth Player 1005,13.0
2025-11-10 06:06:03.348740,Synth Player 1005,12.0
2025-11-12 06:06:03.348740,Synth Player 1005,11.0
2025-11-14 06:06:03.348740,Synth Player 1005,10.0
2025-10-27 06:06:03.348740,Synth Player 1006,20.0
2025-10-29 06:06:03.348740,Synth Player 1006,19.0
2025-10-31 06:06:03.348740,Synth Player 1006,18.0
2025-11-02 06:06:03.348740,Synth Player 1006,17.0
2025-11-04 06:06:03.348740,Synth Player 1006,16.0
