run_dir,line_shift,decimal_odds,min_confidence,max_fraction,kfold,predictions_rows,actuals_rows,initial_bankroll,final_bankroll,roi,brier_score,win_rate,total_bets
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052529Z,0.5,1.9,0.15,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052529Z,0.5,1.9,0.15,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052530Z,0.5,2.2,0.15,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052530Z,0.5,2.2,0.15,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052531Z,0.5,1.9,0.2,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052531Z,0.5,1.9,0.2,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052532Z,0.5,2.2,0.2,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052532Z,0.5,2.2,0.2,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052532Z,0.5,1.9,0.25,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052533Z,0.5,1.9,0.25,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052533Z,0.5,2.2,0.25,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052534Z,0.5,2.2,0.25,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052534Z,1.5,1.9,0.15,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052535Z,1.5,1.9,0.15,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052535Z,1.5,2.2,0.15,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052536Z,1.5,2.2,0.15,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052536Z,1.5,1.9,0.2,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052537Z,1.5,1.9,0.2,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052537Z,1.5,2.2,0.2,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052538Z,1.5,2.2,0.2,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052538Z,1.5,1.9,0.25,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052539Z,1.5,1.9,0.25,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052539Z,1.5,2.2,0.25,0.01,True,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.1989631757048132,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052539Z,1.5,2.2,0.25,0.02,True,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.1989631757048132,0.0,30.0
