run_dir,line_shift,decimal_odds,min_confidence,max_fraction,kfold,predictions_rows,actuals_rows,initial_bankroll,final_bankroll,roi,brier_score,win_rate,total_bets
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052515Z,0.5,1.9,0.15,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052517Z,0.5,1.9,0.15,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052518Z,0.5,2.2,0.15,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052518Z,0.5,2.2,0.15,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052519Z,0.5,1.9,0.2,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052520Z,0.5,1.9,0.2,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052520Z,0.5,2.2,0.2,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052521Z,0.5,2.2,0.2,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052521Z,0.5,1.9,0.25,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052522Z,0.5,1.9,0.25,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052522Z,0.5,2.2,0.25,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052523Z,0.5,2.2,0.25,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052523Z,1.5,1.9,0.15,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052524Z,1.5,1.9,0.15,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052524Z,1.5,2.2,0.15,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052525Z,1.5,2.2,0.15,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052525Z,1.5,1.9,0.2,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052526Z,1.5,1.9,0.2,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052526Z,1.5,2.2,0.2,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052527Z,1.5,2.2,0.2,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052527Z,1.5,1.9,0.25,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052527Z,1.5,1.9,0.25,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052528Z,1.5,2.2,0.25,0.01,False,100,100,1000.0,739.7003733882805,-0.2602996266117195,0.2945364388435237,0.0,30.0
backend\evaluation\backtest_reports\sweeps_broad\backtest_20251116T052528Z,1.5,2.2,0.25,0.02,False,100,100,1000.0,545.4843193824373,-0.4545156806175627,0.2945364388435237,0.0,30.0
