player,mse_before,rmse_before,mae_before,brier_before,ece_before,mse_after,rmse_after,mae_after,brier_after,ece_after,status
Byron Scott,110.4179585133906,10.50799498065119,8.349306273972969,110.4179585133906,7.248843789954943,57.94518430439951,7.612173428423679,6.0264367816091955,57.94518430439951,0.2701149425287426,computed
Clifford Rozier,75.64046010625773,8.697152413649983,6.744459833904356,75.64046010625773,6.3516460820847644,69.04761904761904,8.309489698388164,6.253968253968253,69.04761904761904,5.809523809523808,computed
Clyde Drexler,22.492732677171,4.7426503852983934,4.139232641427112,22.492732677171,1.2203575171065815,21.031895424836602,4.586054450705595,4.003921568627451,21.031895424836602,0.16862745098039245,computed
Dan Schayes,32.79299014197363,5.7265164054574775,3.9780710614933397,32.79299014197363,0.1322117161676637,35.06857142857143,5.921872290802245,3.895238095238095,35.06857142857143,1.5142857142857133,computed
Dennis Rodman,87.4675566231608,9.35240913471822,7.821329415780946,87.4675566231608,5.968882359634913,58.427777777777784,7.64380649792875,5.866666666666667,58.427777777777784,2.566666666666663,computed
Dickey Simpkins,68.43738102745986,8.272688863208858,6.337997804260406,68.43738102745986,5.141729381002066,60.77777777777778,7.796010375684333,5.888888888888889,60.77777777777778,4.333333333333334,computed
Doug West,120.93091937194467,10.996859523152265,9.084955205803706,120.93091937194467,8.63954068070737,85.63636363636364,9.253991767684022,7.636363636363637,85.63636363636364,6.272727272727273,computed
Eric Piatkowski,62.86678694397056,7.928857858731645,6.7508937924941765,62.86678694397056,6.108292018921085,26.68559057173814,5.1658097692170335,4.784781227930302,26.68559057173814,1.0630310513727164,computed
Eric Riley,75.99668498594241,8.717607755912306,7.286844728697415,75.99668498594241,4.6125477288119505,84.19047619047619,9.175536833912018,7.714285714285714,84.19047619047619,5.428571428571427,computed
Gary Payton,15.246338249447916,3.904655970690365,3.261317672936204,15.246338249447916,2.7010592302830565,7.993197278911564,2.8272243064375995,2.26984126984127,7.993197278911564,0.2063492063492065,computed
Grant Long,54.26613861182128,7.366555410218624,5.372428979677772,54.26613861182128,4.353870649460028,43.473214285714285,6.593422046685188,4.767857142857143,43.473214285714285,2.8571428571428577,computed
Jim McIlvaine,338.8098401218003,18.406787881697348,15.771223716711456,338.8098401218003,15.617135126720417,98.30666666666667,9.914971843967418,8.066666666666668,98.30666666666667,1.8416666666666686,computed
Keith Jennings,13.24384251904481,3.6392090512973847,2.8333333333333335,13.24384251904481,0.7973818581374834,21.27777777777778,4.612784167699349,3.611111111111111,21.27777777777778,2.9444444444444446,computed
Lorenzo Williams,110.75160795145484,10.523858985726426,8.585323149005129,110.75160795145484,7.875538581675212,48.728670360110804,6.980592407533246,5.781578947368422,48.728670360110804,0.034210526315789025,computed
Luc Longley,19.69898505264332,4.438353867442672,3.4461942939015273,19.69898505264332,1.330971469507638,18.27265625,4.274652763675665,3.4375,18.27265625,0.5875000000000004,computed
Mario Elie,76.6284262382861,8.753766402999688,7.7371812747267965,76.6284262382861,0.018084931085674327,77.5269016697588,8.804936210430988,7.649350649350649,77.5269016697588,0.9480519480519511,computed
Marty Conlon,8.967233461337694,2.9945339305704475,2.8016415188638573,8.967233461337694,1.1032830377277145,7.75,2.7838821814150108,2.25,7.75,0.0,computed
Micheal Williams,15.236102921416668,3.9033450938159016,3.252561857080836,15.236102921416668,0.16194560261641033,15.36111111111111,3.9193253387682825,3.2777777777777777,15.36111111111111,0.3888888888888893,computed
Monty Williams,11.288889438816025,3.3598942600647455,2.625,11.288889438816025,0.7446572626490808,10.859364438987482,3.2953549792074726,2.869634613687665,10.859364438987482,0.35353845475066015,computed
Richard Dumas,154.12915162383737,12.414876222654714,10.521822293917428,154.12915162383737,5.456608927412539,130.0990345686702,11.406096377318148,9.724696356275304,130.0990345686702,2.396761133603235,computed
Wayman Tisdale,12.276041567848106,3.50371824892472,3.097258155681994,12.276041567848106,2.299649374765739,7.777777777777778,2.788866755113585,2.2222222222222223,7.777777777777778,0.8888888888888893,computed
