player,status,best_weights,val_rmse
Ziaire Williams,ok,"[1.0, 0.0, 0.0]",4.758980983361879
Tyrese Maxey,ok,"[1.0, 0.0, 0.0]",9.11480193343302
Tyrese Martin,ok,"[0.75, 0.0, 0.25]",6.2855523192639025
Tyrese Haliburton,ok,"[1.0, 0.0, 0.0]",7.3996582932688755
Tyler Herro,ok,"[1.0, 0.0, 0.0]",10.345100979967004
Ty Jerome,ok,"[0.0, 1.0, 0.0]",4.320905695818881
Tristan da Silva,ok,"[0.0, 0.75, 0.25]",2.318439381810903
Trey Murphy III,ok,"[1.0, 0.0, 0.0]",4.998441185581189
Trayce Jackson-Davis,ok,"[0.75, 0.25, 0.0]",5.753828385204874
Trae Young,ok,"[1.0, 0.0, 0.0]",6.490444624875204
Blake Wesley,ok,"[0.0, 0.25, 0.75]",2.8771042944424092
Bennedict Mathurin,ok,"[0.5, 0.5, 0.0]",7.875833066948937
Ben Sheppard,ok,"[0.0, 0.0, 1.0]",4.997820488653419
Bam Adebayo,ok,"[0.0, 0.0, 1.0]",7.82644354288212
Austin Reaves,ok,"[0.75, 0.25, 0.0]",6.256873363389932
Ausar Thompson,ok,"[1.0, 0.0, 0.0]",2.7882047475545466
Anthony Edwards,ok,"[1.0, 0.0, 0.0]",11.959383643936553
Anthony Davis,ok,"[0.0, 0.0, 1.0]",11.513553599666096
Anthony Black,ok,"[0.0, 0.0, 1.0]",5.38717634036743
Anfernee Simons,ok,"[0.0, 1.0, 0.0]",11.939561595300248
Cade Cunningham,ok,"[1.0, 0.0, 0.0]",7.609507211377095
Buddy Hield,ok,"[0.0, 0.5, 0.5]",4.464613753755504
Brook Lopez,ok,"[0.0, 0.0, 1.0]",7.951695893732939
Brice Sensabaugh,ok,"[0.25, 0.5, 0.25]",5.236201480380559
Brandon Clarke,ok,"[1.0, 0.0, 0.0]",4.50949949709341
Brandin Podziemski,ok,"[0.0, 0.0, 1.0]",8.52299328725276
Bradley Beal,ok,"[0.0, 0.25, 0.75]",8.682199949263762
Bogdan Bogdanović,ok,"[0.5, 0.0, 0.5]",6.581987593623251
Toumani Camara,ok,"[0.5, 0.0, 0.5]",6.5859455271351885
Tobias Harris,ok,"[1.0, 0.0, 0.0]",3.757862234226871
Tim Hardaway Jr.,ok,"[1.0, 0.0, 0.0]",7.774926733692461
Tidjane Salaün,ok,"[0.75, 0.25, 0.0]",2.63991452812675
Thomas Bryant,ok,"[0.0, 0.75, 0.25]",5.3763837708748055
Terry Rozier,ok,"[0.0, 0.0, 1.0]",6.0548376399477055
Terance Mann,ok,"[1.0, 0.0, 0.0]",5.27987553965865
Taurean Prince,ok,"[0.25, 0.0, 0.75]",5.355290875507344
Tari Eason,ok,"[0.0, 1.0, 0.0]",8.440847545947788
T.J. McConnell,ok,"[0.0, 0.0, 1.0]",2.18778338940671
Steven Adams,ok,"[0.0, 0.25, 0.75]",4.063354148536091
Stephon Castle,ok,"[0.0, 0.0, 1.0]",7.932421509772866
Coby White,ok,"[1.0, 0.0, 0.0]",9.777729067338985
Clint Capela,ok,"[0.0, 0.25, 0.75]",4.619543703829732
