player,status,rows,num_features,corr_selected,rfe_selected,error,duration_s,seasons
Precious Achiuwa,ok,140,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,6.73,"2025-26,2024-25,2023-24"
Steven Adams,ok,70,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,6.39,"2025-26,2024-25,2023-24"
Bam Adebayo,ok,159,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,18.54,"2025-26,2024-25,2023-24"
Ochai Agbaji,ok,151,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,29.51,"2025-26,2024-25,2023-24"
Santi Aldama,ok,142,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,30.12,"2025-26,2024-25,2023-24"
Nickeil Alexander-Walker,ok,178,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,29.68,"2025-26,2024-25,2023-24"
Grayson Allen,ok,151,15,"[""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,30.58,"2025-26,2024-25,2023-24"
Jarrett Allen,ok,172,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,29.89,"2025-26,2024-25,2023-24"
Timmy Allen,ok,4,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""days_rest"", ""adv_PER"", ""adv_WS""]",,73.88,"2025-26,2024-25,2023-24"
Jose Alvarado,ok,127,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,27.6,"2025-26,2024-25,2023-24"
Kyle Anderson,ok,143,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,30.47,"2025-26,2024-25,2023-24"
Giannis Antetokounmpo,ok,152,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""is_home"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""adv_PER"", ""adv_WS""]",,30.15,"2025-26,2024-25,2023-24"
Thanasis Antetokounmpo,ok,38,15,"[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""last_3_std"", ""days_rest"", ""is_home"", ""adv_PER"", ""adv_WS""]","[""last_3_avg"", ""last_5_avg"", ""last_10_avg"", ""days_rest"", ""adv_PER"", ""adv_WS""]",,29.26,"2025-26,2024-25,2023-24"
