player,status_a,model_path_a,mse_a,rmse_a,mae_a,r2_a,n_a,status_b,model_path_b,mse_b,rmse_b,mae_b,r2_b,n_b,delta_rmse,llm_cost_estimate,roi_rmse_per_dollar
A.J. Lawson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
AJ Green,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Aaron Gordon,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Aaron Holiday,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Aaron Nesmith,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Aaron Wiggins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Adem Bona,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ajay Mitchell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Al Horford,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Alex Caruso,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Alperen Sengun,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Amen Thompson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Amir Coffey,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Andre Drummond,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Andre Jackson Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Andrew Nembhard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Andrew Wiggins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Anfernee Simons,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Anthony Black,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Anthony Davis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Anthony Edwards,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Antonio Reeves,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ariel Hukporti,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ausar Thompson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Austin Reaves,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ayo Dosunmu,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bam Adebayo,ok,backend\models_store\Bam_Adebayo_abA.pkl,22.16172994882491,4.707624660996765,3.806103306552726,0.3819822585077149,8.0,ok,backend\models_store\Bam_Adebayo_abB.pkl,22.515454624172342,4.745045271035076,3.843790806552725,0.3721180409816863,8.0,0.03742061003831143,0.005,7.484122007662286
Baylor Scheierman,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ben Sheppard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bennedict Mathurin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bismack Biyombo,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Blake Wesley,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bobby Portis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bobi Klintman,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bogdan Bogdanović,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bones Hyland,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bradley Beal,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Branden Carlson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brandin Podziemski,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brandon Clarke,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brandon Ingram,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brandon Miller,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brice Sensabaugh,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bronny James,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Brook Lopez,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bruce Brown,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Bryce McGowens,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Buddy Hield,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cade Cunningham,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Caleb Houstan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Caleb Martin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cam Christie,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cam Spencer,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cam Thomas,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Cameron Johnson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Caris LeVert,missing_model,,,,,,,missing_model,,,,,,,,0.005,
