player,game_date,target,last_3_avg,last_5_avg,last_10_avg,last_3_std,days_rest,is_home,opp_def,multi_PER,multi_WS,multi_TS_PCT,multi_season_PTS_avg,injury_sentiment,morale_score,motivation
Devin Booker,2025-10-24,18.0,31.0,31.0,31.0,0.0,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-10-25,31.0,24.5,24.5,24.5,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-10-27,34.0,26.666666666666668,26.666666666666668,26.666666666666668,6.128258770283412,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-10-29,32.0,27.666666666666668,28.5,28.5,6.944222218666553,1.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-10-31,36.0,32.333333333333336,29.2,29.2,1.247219128924647,1.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-02,28.0,34.0,30.2,30.333333333333332,1.632993161855452,1.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-04,38.0,32.0,32.2,30.0,3.265986323710904,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-06,24.0,34.0,33.6,31.0,4.320493798938574,1.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-08,21.0,30.0,31.6,30.22222222222222,5.887840577551898,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-10,19.0,27.666666666666668,29.4,29.3,7.408703590297623,1.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-12,26.0,21.333333333333332,26.0,28.1,2.0548046676563256,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-13,33.0,22.0,25.6,28.9,2.943920288775949,0.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-16,27.0,26.0,24.6,29.1,5.715476066494082,2.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-18,19.0,28.666666666666668,25.2,28.4,3.0912061651652345,1.0,0,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
Devin Booker,2025-11-21,16.0,26.333333333333332,24.8,27.1,5.734883511361751,2.0,1,100.0,0.0,0.0,0.0,0.0,-0.94,0.25,0.15
