roster_name,resolved_player_id
Jacob Toppin,1631210
Jalen Johnson,1630552
Keaton Wallace,
Luke Kennard,1628379
Dyson Daniels,1630700
Nickeil Alexander-Walker,1629638
Kristaps Porziņģis,
Zaccharie Risacher,
Trae Young,1629027
N'Faly Dante,
Asa Newell,
Onyeka Okongwu,1630168
Mouhamed Gueye,1631243
Nikola Đurišić,
Vít Krejčí,
Eli John Ndiaye,
Caleb Houstan,1631216
Jayson Tatum,1628369
Anfernee Simons,1629014
Jaylen Brown,1627759
Josh Minott,1631169
Derrick White,1628401
Payton Pritchard,1630202
Ron Harper Jr.,1631199
Xavier Tillman,1630214
Jordan Walsh,1641775
Hugo González,
Max Shulga,
Sam Hauser,1630573
Luka Garza,1630568
Baylor Scheierman,
Amari Williams,
Neemias Queta,1629674
Chris Boucher,1628449
Max Strus,1629622
Lonzo Ball,1628366
Thomas Bryant,1628418
Evan Mobley,1630596
Sam Merrill,1630241
Chris Livingston,1641753
Craig Porter Jr.,1641854
Darius Garland,1629636
De'Andre Hunter,1629631
Jaylon Tyson,
Larry Nance Jr.,1626204
Tyrese Proctor,
Jarrett Allen,1628386
Dean Wade,1629731
Luke Travers,
Nae'Qwan Tomlin,
Donovan Mitchell,1628378
Jeremiah Fears,
Zion Williamson,1629627
Herbert Jones,1630529
Jordan Poole,1629673
Hunter Dickinson,
Dejounte Murray,1627749
DeAndre Jordan,201599
Bryce McGowens,1631121
Micah Peavy,
Jose Alvarado,1630631
Karlo Matković,
Yves Missi,
Derik Queen,
Trey Alexander,
Jordan Hawkins,1641722
Trey Murphy III,1630530
Saddiq Bey,1630180
Kevon Looney,1626172
Coby White,1629632
Trentyn Flowers,
Emanuel Miller,
Josh Giddey,1630581
Jevon Carter,1628975
Dalen Terry,1631207
Nikola Vučević,
Ayo Dosunmu,1630245
Zach Collins,1628380
Kevin Huerter,1628989
Matas Buzelis,
Julian Phillips,1641763
Noa Essengue,
Jalen Smith,1630188
Tre Jones,1630200
Isaac Okoro,1630171
Patrick Williams,1630172
Lachlan Olbrich,
Danté Exum,
Max Christie,1631108
Jaden Hardy,1630702
Dereck Lively II,1641726
Anthony Davis,203076
D'Angelo Russell,1626156
Dwight Powell,203939
Ryan Nembhard,
Brandon Williams,1585
Kyrie Irving,202681
Naji Marshall,1630230
Miles Kelly,
Caleb Martin,1628997
Daniel Gafford,1629655
P.J. Washington,1629023
Moussa Cisse,
Klay Thompson,202691
Cooper Flagg,
Christian Braun,1631128
Curtis Jones,
Julian Strawther,1631124
Hunter Tyson,1641816
Tamar Bates,
Peyton Watson,1631212
Tim Hardaway Jr.,203501
Bruce Brown,1628971
DaRon Holmes II,
Nikola Jokić,
Jonas Valančiūnas,
Spencer Jones,
Zeke Nnaji,1630192
Cameron Johnson,1629661
Jalen Pickett,1629618
Jamal Murray,1627750
Aaron Gordon,203932
Gary Payton II,1627780
Jonathan Kuminga,1630228
Brandin Podziemski,1641764
Will Richard,
Moses Moody,1630541
Buddy Hield,1627741
De'Anthony Melton,1629001
Jimmy Butler III,202710
Gui Santos,1630611
Al Horford,201143
Quinten Post,
Alex Toohey,
Draymond Green,203110
Stephen Curry,201939
Trayce Jackson-Davis,1631218
Jackson Rowe,
Pat Spencer,1630311
Aaron Holiday,1628988
Kevon Harris,1630284
Amen Thompson,1641708
Dorian Finney-Smith,1627827
JD Davison,1631120
Fred VanVleet,1627832
Kevin Durant,201142
Jae'Sean Tate,1630256
Jabari Smith Jr.,1631095
Steven Adams,203500
Reed Sheppard,
Tari Eason,1631106
Josh Okogie,1629006
Isaiah Crawford,
Alperen Sengun,1630578
Clint Capela,203991
Jeff Green,201145
