player,train_rows,val_rows,test_rows,status,model_path
Jacob Toppin,0,0,0,failed,
Jalen Johnson,0,0,0,failed,
Keaton Wallace,0,0,0,failed,
Luke Kennard,0,0,0,failed,
Dyson Daniels,0,0,0,failed,
Nickeil Alexander-Walker,0,0,0,failed,
Kristaps Porziņģis,0,0,0,failed,
Zaccharie Risacher,0,0,0,failed,
Trae Young,0,0,0,failed,
N'Faly Dante,0,0,0,failed,
Asa Newell,0,0,0,failed,
Onyeka Okongwu,0,0,0,failed,
Mouhamed Gueye,0,0,0,failed,
Nikola Đurišić,0,0,0,failed,
Vít Krejčí,0,0,0,failed,
Eli John Ndiaye,0,0,0,failed,
Caleb Houstan,0,0,0,failed,
Jayson Tatum,0,0,0,failed,
Anfernee Simons,0,0,0,failed,
Jaylen Brown,0,0,0,failed,
Josh Minott,0,0,0,failed,
Derrick White,0,0,0,failed,
Payton Pritchard,0,0,0,failed,
Ron Harper Jr.,0,0,0,failed,
Xavier Tillman,0,0,0,failed,
Jordan Walsh,0,0,0,failed,
Hugo González,0,0,0,failed,
Max Shulga,0,0,0,failed,
Sam Hauser,0,0,0,failed,
Luka Garza,0,0,0,failed,
Baylor Scheierman,0,0,0,failed,
Amari Williams,0,0,0,failed,
Neemias Queta,0,0,0,failed,
Chris Boucher,0,0,0,failed,
Max Strus,0,0,0,failed,
Lonzo Ball,0,0,0,failed,
Thomas Bryant,0,0,0,failed,
Evan Mobley,0,0,0,failed,
Sam Merrill,0,0,0,failed,
Chris Livingston,0,0,0,failed,
Craig Porter Jr.,0,0,0,failed,
Darius Garland,0,0,0,failed,
De'Andre Hunter,0,0,0,failed,
Jaylon Tyson,0,0,0,failed,
Larry Nance Jr.,0,0,0,failed,
Tyrese Proctor,0,0,0,failed,
Jarrett Allen,0,0,0,failed,
Dean Wade,0,0,0,failed,
Luke Travers,0,0,0,failed,
Nae'Qwan Tomlin,0,0,0,failed,
Donovan Mitchell,0,0,0,failed,
Jeremiah Fears,0,0,0,failed,
Zion Williamson,0,0,0,failed,
Herbert Jones,0,0,0,failed,
Jordan Poole,0,0,0,failed,
Hunter Dickinson,0,0,0,failed,
Dejounte Murray,0,0,0,failed,
DeAndre Jordan,0,0,0,failed,
Bryce McGowens,0,0,0,failed,
Micah Peavy,0,0,0,failed,
Jose Alvarado,0,0,0,failed,
Karlo Matković,0,0,0,failed,
Yves Missi,0,0,0,failed,
Derik Queen,0,0,0,failed,
Trey Alexander,0,0,0,failed,
Jordan Hawkins,0,0,0,failed,
Trey Murphy III,0,0,0,failed,
Saddiq Bey,0,0,0,failed,
Kevon Looney,0,0,0,failed,
Coby White,0,0,0,failed,
Trentyn Flowers,0,0,0,failed,
Emanuel Miller,0,0,0,failed,
Josh Giddey,0,0,0,failed,
Jevon Carter,0,0,0,failed,
Dalen Terry,0,0,0,failed,
Nikola Vučević,0,0,0,failed,
Ayo Dosunmu,0,0,0,failed,
Zach Collins,0,0,0,failed,
Kevin Huerter,0,0,0,failed,
Matas Buzelis,0,0,0,failed,
Julian Phillips,0,0,0,failed,
Noa Essengue,0,0,0,failed,
Jalen Smith,0,0,0,failed,
Tre Jones,0,0,0,failed,
Isaac Okoro,0,0,0,failed,
Patrick Williams,0,0,0,failed,
Lachlan Olbrich,0,0,0,failed,
Danté Exum,0,0,0,failed,
Max Christie,0,0,0,failed,
Jaden Hardy,0,0,0,failed,
Dereck Lively II,0,0,0,failed,
Anthony Davis,0,0,0,failed,
D'Angelo Russell,0,0,0,failed,
Dwight Powell,0,0,0,failed,
Ryan Nembhard,0,0,0,failed,
Brandon Williams,0,0,0,failed,
Kyrie Irving,0,0,0,failed,
Naji Marshall,0,0,0,failed,
Miles Kelly,0,0,0,failed,
Caleb Martin,0,0,0,failed,
Daniel Gafford,0,0,0,failed,
P.J. Washington,0,0,0,failed,
Moussa Cisse,0,0,0,failed,
Klay Thompson,0,0,0,failed,
Cooper Flagg,0,0,0,failed,
Christian Braun,0,0,0,failed,
Curtis Jones,0,0,0,failed,
Julian Strawther,0,0,0,failed,
