player,train_rows,val_rows,test_rows,status,model_path
Jacob Toppin,11,2,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jacob_Toppin.pkl
Jalen Johnson,24,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jalen_Johnson.pkl
Keaton Wallace,21,4,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Keaton_Wallace.pkl
Luke Kennard,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Luke_Kennard.pkl
Dyson Daniels,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dyson_Daniels.pkl
Nickeil Alexander-Walker,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nickeil_Alexander-Walker.pkl
Kristaps Porziņģis,29,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kristaps_Porziņģis.pkl
Zaccharie Risacher,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Zaccharie_Risacher.pkl
Trae Young,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Trae_Young.pkl
N'Faly Dante,0,0,0,skipped,
Asa Newell,0,0,0,skipped,
Onyeka Okongwu,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Onyeka_Okongwu.pkl
Mouhamed Gueye,22,5,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Mouhamed_Gueye.pkl
Nikola Đurišić,0,0,0,skipped,
Vít Krejčí,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Vít_Krejčí.pkl
Eli John Ndiaye,0,0,0,skipped,
Caleb Houstan,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Caleb_Houstan.pkl
Jayson Tatum,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jayson_Tatum.pkl
Anfernee Simons,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Anfernee_Simons.pkl
Jaylen Brown,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jaylen_Brown.pkl
Josh Minott,31,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Josh_Minott.pkl
Derrick White,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Derrick_White.pkl
Payton Pritchard,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Payton_Pritchard.pkl
Ron Harper Jr.,0,0,0,skipped,
Xavier Tillman,22,5,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Xavier_Tillman.pkl
Jordan Walsh,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jordan_Walsh.pkl
Hugo González,0,0,0,skipped,
Max Shulga,0,0,0,skipped,
Sam Hauser,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Sam_Hauser.pkl
Luka Garza,27,6,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Luka_Garza.pkl
Baylor Scheierman,21,4,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Baylor_Scheierman.pkl
Amari Williams,0,0,0,skipped,
Neemias Queta,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Neemias_Queta.pkl
Chris Boucher,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Chris_Boucher.pkl
Max Strus,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Max_Strus.pkl
Lonzo Ball,24,5,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Lonzo_Ball.pkl
Thomas Bryant,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Thomas_Bryant.pkl
Evan Mobley,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Evan_Mobley.pkl
Sam Merrill,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Sam_Merrill.pkl
Chris Livingston,14,3,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Chris_Livingston.pkl
Craig Porter Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Craig_Porter_Jr..pkl
Darius Garland,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Darius_Garland.pkl
De'Andre Hunter,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\De'Andre_Hunter.pkl
Jaylon Tyson,32,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jaylon_Tyson.pkl
Larry Nance Jr.,16,3,4,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Larry_Nance_Jr..pkl
Tyrese Proctor,0,0,0,skipped,
Jarrett Allen,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jarrett_Allen.pkl
Dean Wade,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dean_Wade.pkl
Luke Travers,8,2,1,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Luke_Travers.pkl
Nae'Qwan Tomlin,3,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nae'Qwan_Tomlin.pkl
Donovan Mitchell,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Donovan_Mitchell.pkl
Jeremiah Fears,0,0,0,skipped,
Zion Williamson,20,4,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Zion_Williamson.pkl
