player_id,n_samples,model,val_mae,test_mae,hyperparameters,timestamp
player_1001,59,XGBoost,0.006103038787841797,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1002,59,XGBoost,0.006102800369262695,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1003,59,XGBoost,0.006102800369262695,0.06633663177490234,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1004,59,XGBoost,0.006101846694946289,0.06633682250976562,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1005,59,XGBoost,0.0061037540435791016,0.06633777618408203,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1006,59,XGBoost,0.006103038787841797,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1007,59,XGBoost,0.006102800369262695,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1008,59,XGBoost,0.006102800369262695,0.06633663177490234,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1009,59,XGBoost,0.006101846694946289,0.06633682250976562,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1010,59,XGBoost,0.0061037540435791016,0.06633777618408203,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4"""
player_1001,59,XGBoost,0.006103038787841797,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1002,59,XGBoost,0.006102800369262695,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1003,59,XGBoost,0.006102800369262695,0.06633663177490234,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1004,59,XGBoost,0.006101846694946289,0.06633682250976562,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1005,59,XGBoost,0.0061037540435791016,0.06633777618408203,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1006,59,XGBoost,0.006103038787841797,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1007,59,XGBoost,0.006102800369262695,0.06633710861206055,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1008,59,XGBoost,0.006102800369262695,0.06633663177490234,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1009,59,XGBoost,0.006101846694946289,0.06633682250976562,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
player_1010,59,XGBoost,0.0061037540435791016,0.06633777618408203,"{""n_estimators"": 65, ""max_depth"": 6, ""learning_rate"": 0.09493732706631618, ""subsample"": 0.6}","""782c4e2d4e7fa6ff9bf2d34cffad5ad286e8a19ae5ccd230678df5a09309ebd4""",False
