id,name,version,path,notes,created_at,kept_contextual_features
1,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpmmy1ef5_\Test_Player.pkl,,2025-11-12 04:34:57.580219,
2,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpzt5q0si7\Test_Player.pkl,,2025-11-12 04:35:49.709110,
3,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpv_td7xkr\Test_Player.pkl,,2025-11-12 04:43:54.065539,
4,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpbds0rzn6\Test_Player.pkl,,2025-11-12 04:55:28.120089,
5,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp8ky6a8z9\Test_Player.pkl,,2025-11-12 05:00:06.695133,
6,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpfv_7jm8g\Test_Player.pkl,,2025-11-12 05:01:26.711858,
7,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpzgijzz6z\Test_Player.pkl,,2025-11-12 05:03:05.179702,
8,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpmwz7p5xg\Test_Player.pkl,,2025-11-12 05:44:41.057629,
9,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpfwd13rzo\Test_Player.pkl,,2025-11-12 05:46:01.746824,
10,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmprcl41s0v\Test_Player.pkl,,2025-11-12 05:48:27.191734,
11,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp901cpsgu\Test_Player.pkl,,2025-11-12 05:49:03.969200,
12,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp6ggogrst\Test_Player.pkl,,2025-11-12 06:00:28.905055,
13,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpnn2kykwh\Test_Player.pkl,,2025-11-12 06:12:55.156012,
14,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpnngk2ipe\Test_Player.pkl,,2025-11-12 06:14:09.930920,
15,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp5tnv2_ub\Test_Player.pkl,,2025-11-12 06:16:39.737741,
16,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpnhajorl0\Test_Player.pkl,,2025-11-12 06:16:53.082334,
17,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpgoq0uxcc\Test_Player.pkl,,2025-11-12 06:18:09.849790,
18,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpyokau42m\Test_Player.pkl,,2025-11-12 06:18:45.055689,
19,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpod06db4o\Test_Player.pkl,,2025-11-12 06:20:19.445219,
20,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp6robhp9c\Test_Player.pkl,,2025-11-12 06:21:13.087610,
21,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp00h1qfwg\Test_Player.pkl,,2025-11-12 06:23:03.635787,
22,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpfi6oomjm\Test_Player.pkl,,2025-11-12 06:23:21.991696,
23,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpbx_nyoxa\Test_Player.pkl,,2025-11-12 06:31:10.942028,
24,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpi6cl9nhd\Test_Player.pkl,,2025-11-12 06:31:48.596370,
25,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp_xxv6gc1\Test_Player.pkl,,2025-11-12 06:32:51.854287,
26,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpvd2b2eid\Test_Player.pkl,,2025-11-12 06:33:19.280383,
27,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpjsjvzhop\Test_Player.pkl,,2025-11-12 06:33:53.782455,
28,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp529aulec\Test_Player.pkl,,2025-11-12 06:35:48.381068,
29,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpx_hx8iz9\Test_Player.pkl,,2025-11-12 06:37:29.534814,
30,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpfnlr7th2\Test_Player.pkl,,2025-11-12 06:39:34.486835,
31,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp3gwmton0\Test_Player.pkl,,2025-11-12 06:40:00.389919,
32,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp13m5pswy\Test_Player.pkl,,2025-11-12 06:41:30.006911,
33,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp6td0ece4\Test_Player.pkl,,2025-11-12 06:42:41.979852,
34,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpj62zq_94\Test_Player.pkl,,2025-11-12 07:23:07.126445,
35,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmplsqwmczy\Test_Player.pkl,,2025-11-12 07:24:48.589023,
36,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp6p80bahh\Test_Player.pkl,,2025-11-12 07:25:29.117337,
37,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp07s4fspe\Test_Player.pkl,,2025-11-12 07:35:01.610338,
38,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpl2xw1bhc\Test_Player.pkl,,2025-11-12 07:37:50.962870,
39,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpiix0q_29\Test_Player.pkl,,2025-11-12 07:41:03.551877,
40,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp53xgjqe_\Test_Player.pkl,,2025-11-12 07:43:32.635973,
41,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmp_50jd901\Test_Player.pkl,,2025-11-12 07:45:37.042592,
42,Test Player,,C:\Users\bcmad\AppData\Local\Temp\tmpg9u8tp2m\Test_Player.pkl,,2025-11-12 07:50:02.424383,
